,auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,my_status,occupancy_status,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2840729,,335000,2019-09-10,Unknown,2,3,0,True,,335000,False,1336,/details/5021-tacomic-drive-sacramento-ca-95842-2840729-e_13651a,False,0.14,auctioned,,False,49,5021 TACOMIC DRIVE,Sacramento,Sacramento,2840729,Occupied,CA,SFR,95842,6,Completed - Pending Sale Result,True,RP21575,376762,Live,1976
2834589,,375000,2019-09-10,Gone,2,3,0,True,147915.84,375000,False,1324,/details/490-summer-garden-way-sacramento-ca-95833-2834589-e_13391,False,0.13,auctioned,,False,1744,490 SUMMER GARDEN WAY,Sacramento,Sacramento,2834589,Occupied,CA,SFR,95833,46,Completed - Sold to 3rd Party,True,ZI18038,378717,Live,2004
2824104,,710000,2019-09-12,Gone,1.5,1,0,True,252211.33,710000,False,957,/details/6625-hillmont-dr-oakland-ca-94605-2824104-e_13391,False,0.17,auctioned,,False,823,6625 HILLMONT DR,Oakland,Alameda,2824104,Occupied,CA,SFR,94605,25,Completed - Sold to 3rd Party,True,ZJ18507,381258,Live,1925
2805840,,1192000,2019-09-10,Unknown,2,3,0,True,,1192000,False,1713,/details/340-fieldbrook-ln-watsonville-ca-95076-2805840-e_13651a,False,6.31,auctioned,,False,770,340 FIELDBROOK LN,Watsonville,Santa Cruz,2805840,Occupied,CA,,95076,22,Completed - Pending Sale Result,True,ZL5000,397035,Live,1978
2694881,,580000,2019-09-11,Gone,2,4,0,True,335000.0,580000,False,1942,/details/746-del-mar-circle-vacaville-ca-95688-2694881-e_13391,False,0.08,auctioned,,False,284,746 DEL MAR CIRCLE,Vacaville,Solano,2694881,Occupied,CA,SFR,95688,26,Completed - Sold to 3rd Party,True,ZR22518,386292,Live,2014
2829026,,358000,2019-09-11,Gone,1,2,0,True,200000.0,358000,False,1096,/details/718-springs-rd-vallejo-ca-94590-2829026-e_13391,False,0.09,auctioned,,False,223,718 SPRINGS RD,Vallejo,Solano,2829026,Occupied,CA,SFR,94590,4,Completed - Sold to 3rd Party,True,ZR22509,386292,Live,1934
2787177,,861000,2019-09-10,Gone,1,2,0,True,239997.76,861000,False,957,/details/129-pioneer-ave-walnut-creek-ca-94597-2787177-e_13391,False,0.33,auctioned,,False,1105,129 PIONEER AVE,Walnut Creek,Contra Costa,2787177,Occupied,CA,SFR,94597,58,Completed - Sold to 3rd Party,True,ZO21016,385367,Live,1951
2791151,,1529000,2019-09-13,Unknown,1.5,3,0,True,,1529000,False,1600,/details/1574-willowmont-ave-san-jose-ca-95118-2791151-e_13703a,False,0.14,auctioned,,False,674,1574 WILLOWMONT AVE,San Jose,Santa Clara,2791151,Occupied,CA,SFR,95118,55,Completed - Pending Sale Result,True,ZJ4000,397033,Live,1958
1365490,,446000,2019-09-10,Gone,3,4,0,True,328781.67,446000,False,2088,/details/5506-sagpond-way-sacramento-ca-95835-1365490-e_13391,False,0.06,auctioned,,False,490,5506 SAGPOND WAY,Sacramento,Sacramento,1365490,Occupied,CA,SFR,95835,23,Completed - Sold to 3rd Party,True,ZI18040,378717,Live,2005
2831476,,Not Available,2019-09-05,Sold subject to,,,4,,,,,,/details/1142-corby-avenue-santa-rosa-ca-95407-2831476-o_1256l,,,auctioned,Occupied,True,362,,,,2831476,,,SFR,,,Pending,,AJ14344,394871,,1946
