,auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,my_status,occupancy_status,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2828920,,730000,2019-12-17,Unknown,2.0,3.0,0.0,True,225000.0,730000.0,False,1778.0,/details/4517-fall-avenue-richmond-ca-94804-2828920-e_14119,False,0.07,active,,0.0,233.0,4517 FALL AVENUE,Richmond,Contra Costa,2828920,Occupied,CA,SFR,94804.0,15.0,Active - Scheduled for Auction,True,AB1500,402352.0,Live,1957.0
2831434,,557000,2019-09-19,Unknown,2.5,4.0,0.0,True,,557000.0,False,2043.0,/details/4089-s-anchor-ct-byron-ca-94505-2831434-e_13703a,False,0.11,active,,0.0,144.0,4089 S ANCHOR CT,Byron,Contra Costa,2831434,Occupied,CA,SFR,94505.0,13.0,Active - Postponed to,True,AG4000,405723.0,Live,1997.0
2831168,,713000,2019-12-02,Unknown,3.5,4.0,0.0,True,288905.36,713000.0,False,2203.0,/details/711-summer-lane-richmond-ca-94806-2831168-e_14015,False,0.01,active,,0.0,155.0,711 SUMMER LANE,Richmond,Contra Costa,2831168,Occupied,CA,Condo,94806.0,17.0,Active - Scheduled for Auction,True,ZH17500,402349.0,Live,2005.0
2811539,,548000,2019-11-19,Unknown,1.0,2.0,0.0,True,145000.0,548000.0,False,954.0,/details/508-arch-street-martinez-ca-94553-2811539-e_14223,False,0.08,active,,0.0,1060.0,508 ARCH STREET,Martinez,Contra Costa,2811539,Occupied,CA,SFR,94553.0,47.0,Active - Scheduled for Auction,True,AA1001,395299.0,Live,1927.0
2823389,,561000,2019-10-22,Unknown,2.0,3.0,0.0,True,,561000.0,False,2038.0,/details/4417-mare-ct-antioch-ca-94531-2823389-e_13703,False,0.18,active,,0.0,63.0,4417 MARE CT,Antioch,Contra Costa,2823389,Occupied,CA,SFR,94531.0,18.0,Active - Scheduled for Auction,True,AA1005,388702.0,Live,1994.0
2819188,,791000,2019-09-24,Gone,3.0,6.0,0.0,True,420000.0,791000.0,False,3290.0,/details/201-fahmy-street-brentwood-ca-94513-2819188-e_13495,False,0.14,active,,0.0,326.0,201 FAHMY STREET,Brentwood,Contra Costa,2819188,Occupied,CA,SFR,94513.0,27.0,Completed - Reverted to Beneficiary,True,AE3022,392505.0,Live,2004.0
2822387,,3452000,2019-10-08,Unknown,6.0,5.0,0.0,True,2550000.0,3452000.0,False,6815.0,/details/19-alamo-springs-court-danville-ca-94526-2822387-e_13911,False,1.4,active,,0.0,969.0,19 ALAMO SPRINGS COURT,Danville,Contra Costa,2822387,Occupied,CA,SFR,94526.0,21.0,Active - Scheduled for Auction,True,ZY26014,386699.0,Live,2013.0
2813015,,715000,2019-09-24,Unknown,2.0,3.0,0.0,True,530000.0,715000.0,False,1360.0,/details/4848-morwood-dr-richmond-ca-94803-2813015-e_13807,False,0.16,active,,0.0,252.0,4848 MORWOOD DR,Richmond,Contra Costa,2813015,Occupied,CA,SFR,94803.0,15.0,Active - Scheduled for Auction,True,AE3011,392505.0,Live,1960.0
2812919,,438000,2019-09-22,Not started,,,0.0,,,,,,/details/506-parker-ln-antioch-ca-94509-2812919-o_1261,,,active,Occupied,1.0,0.0,506 PARKER LN,Antioch,Contra Costa,2812919,,,SFR,94509,,For Sale,,ZA56619,401858.0,,1930
1331017,,2643000,2019-11-19,Unknown,4.5,4.0,0.0,True,2050000.0,2643000.0,False,5227.0,/details/9-creekledge-court-danville-ca-94506-1331017-e_13911,False,0.51,active,,0.0,1296.0,9 CREEKLEDGE COURT,Danville,Contra Costa,1331017,Occupied,CA,SFR,94506.0,46.0,Active - Scheduled for Auction,True,AA1000,395299.0,Live,1991.0
